npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix
894.0,-350.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1392285999.24,11857892.9305,1391778885.32,1406556195.34,1379030030.99,1380255338.23,1405026619.75,4.0,140609624752000.0,8.47275451554e-14,0.25,0.00390629558665,0.125,0.125001458773,124
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1378493019.21,4527844.36384,1380486168.99,1381239235.27,1371760503.59,1372981225.21,1381214403.52,4.0,20501374583200.0,8.47275451554e-14,0.12464589235099999,0.007790459186979999,0.25,0.250002917546,91
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1349961736.33,1312373.04725,1349598345.99,1351820738.08,1348829515.26,1348901748.87,1351530470.26,4.0,1722323015140.0,8.47275451554e-14,0.12464589235099999,0.00389506429344,0.25,0.124996154144,76
894.0,-879.0,-8790.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1341086772.7,7679267.1311,1340821464.36,1349881526.66,1332822635.42,1333430681.8,1349114295.28,4.0,58971143670800.0,8.47275451554e-14,0.12464589235099999,0.0038952295934899994,0.25,0.125001458773,96
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1323309411.95,7688384.167719999,1325839135.89,1329311576.18,1312247799.84,1314023475.58,1329053734.8,4.0,59111251110400.0,8.47275451554e-14,0.25,0.007812408826689999,0.125,0.249997082454,108
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,10.0,ref,davis_besse,ohio,covid,1292916100.44,5382450.83423,1292195398.81,1299290659.36,1287982944.8,1288129887.2,1298711295.98,4.0,28970776982900.0,8.47275451554e-14,0.25,0.003906129817,0.125,0.124996154144,103
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,471291.0,ref,davis_besse,ohio,covid,1288362248.73,6678411.010369999,1287441218.17,1296989822.28,1281576736.31,1282094713.8,1295919226.46,4.0,44601173623400.0,8.47275451554e-14,0.25,0.00781257459634,0.125,0.250002387083,113
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,706937.0,ref,davis_besse,ohio,covid,1256352828.74,3919892.56259,1255546729.97,1261755626.59,1252562228.42,1252891878.94,1260942316.81,4.0,15365557702200.0,8.47275451554e-14,0.25,0.00781259117331,0.125,0.250002917546,118
894.0,-526.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,942583.0,ref,davis_besse,ohio,covid,1199115202.48,10978437.1372,1195128360.88,1215210926.64,1190993161.54,1191382311.23,1212429671.98,4.0,120526081976000.0,8.47275451554e-14,0.25,0.00390629558665,0.125,0.125001458773,123
894.0,-703.0,-4356.0,-14.9,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,-1.0000000000000005e+200,235646.0,ref,davis_besse,ohio,covid,1144943570.63,8526161.71456,1143551282.91,1156560381.0,1136111335.71,1137108708.53,1154727635.54,4.0,72695433582900.0,8.47275451554e-14,0.25,0.007812408826689999,0.125,0.249997082454,107
