npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152559311582.0,485840.043984,-152559311582.0,-152558968042.0,-152559655123.0,-152559620769.0,-152559002396.0,2.0,236040548338.0,0.25,0.0156246745464,1.17734560967e-13,58,0.249994792742,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152608165239.0,3638471.34497,-152608165239.0,-152605592451.0,-152610738027.0,-152610480748.0,-152605849730.0,2.0,13238473728200.0,0.25,0.0156252662803,1.17734560967e-13,63,0.250004260484,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152662716638.0,4495568.60122,-152662716638.0,-152659537790.0,-152665895485.0,-152665577600.0,-152659855675.0,2.0,20210137048300.0,0.25,0.0156253254536,1.17734560967e-13,68,0.250005207258,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152719295058.0,7046292.21245,-152719295058.0,-152714312577.0,-152724277539.0,-152723779290.0,-152714810825.0,2.0,49650233943200.0,0.25,0.00781207099292,1.17734560967e-13,79,0.124993135887,0.25
1193.0,-585.0,-14704.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152729015705.0,3949588.07351,-152729015705.0,-152726222925.0,-152731808486.0,-152731529208.0,-152726502203.0,2.0,15599245950400.0,0.25,0.00781266272682,1.17734560967e-13,73,0.125002603629,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,132030.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152777283778.0,4172077.85165,-152777283778.0,-152774333673.0,-152780233882.0,-152779938872.0,-152774628684.0,2.0,17406233600300.0,0.25,0.0156246745464,1.17734560967e-13,84,0.249994792742,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,264059.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152817254556.0,3572034.21343,-152817254556.0,-152814728746.0,-152819780366.0,-152819527785.0,-152814981327.0,2.0,12759428421900.0,0.25,0.0156252662803,1.17734560967e-13,89,0.250004260484,0.25
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,396089.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152884513794.0,6267117.0873,-152884513794.0,-152880082273.0,-152888945315.0,-152888502163.0,-152880525425.0,2.0,39276756585900.0,0.25,0.0156253254536,1.17734560967e-13,94,0.250005207258,0.25
1193.0,-185.0,-4652.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152919268695.0,15217576.4922,-152919268695.0,-152908508244.0,-152930029147.0,-152928953102.0,-152909584289.0,2.0,231574634296000.0,0.125,0.00195301774823,1.17734560967e-13,105,0.124993135887,0.125
1193.0,-385.0,-9678.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,528119.0,1e+200,-1e+200,ref,braidwood,illinois,covid,-152932013398.0,15448287.7811,-152932013398.0,-152921089809.0,-152942936987.0,-152941844628.0,-152922182168.0,2.0,238649595367000.0,0.25,0.00781266272682,1.17734560967e-13,99,0.125002603629,0.25
