smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,ProbabilityWeight-meoh_capacity,PointProbability
720.0,-224.1,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2843617305.15,20766015.3664,-2843617305.15,-2828933514.87,-2858301095.44,-2856832716.41,-2830401893.9,2.0,431227394196000.0,48,0.142822580645,0.0714270494897,0.000728671109714,0.0714285714286,0.0
720.0,-578.4,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2844497268.84,12653717.0071,-2844497268.84,-2835549739.74,-2853444797.94,-2852550045.03,-2836444492.65,2.0,160116554097000.0,78,0.142822580645,0.142855874575,0.00291472066673,0.142857142857,3.6761913905299995e-14
720.0,-312.7,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2848837666.74,15071506.1677,-2848837666.74,-2838180502.53,-2859494830.96,-2858429114.54,-2839246218.95,2.0,227150298163000.0,103,0.142903225806,0.142855874575,0.00291636647173,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2877786885.26,13060072.7379,-2877786885.26,-2868552019.26,-2887021751.26,-2886098264.66,-2869475505.86,2.0,170565499920000.0,6,0.0714516129032,0.0714270494897,0.000729082555852,0.142857142857,3.6761913905299995e-14
720.0,-135.6,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2885225397.77,26152983.2965,-2885225397.77,-2866732445.93,-2903718349.6,-2901869054.42,-2868581741.11,2.0,683978535309000.0,183,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-135.6,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2893982461.29,2446698.00163,-2893982461.29,-2892252384.54,-2895712538.04,-2895539530.37,-2892425392.22,2.0,5986331111180.0,120,0.142822580645,0.142855874575,0.00145736033336,0.0714285714286,0.0
720.0,-401.3,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2894024703.29,24594597.2643,-2894024703.29,-2876633696.78,-2911415709.79,-2909676609.14,-2878372797.43,2.0,604894214593000.0,158,0.142903225806,0.14285765017,0.00291640272006,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2915576735.3,9533698.60803,-2915576735.3,-2908835392.37,-2922318078.24,-2921643943.94,-2909509526.66,2.0,90891409148700.0,23,0.142822580645,0.0714270494897,0.00145734221943,0.142857142857,3.6761913905299995e-14
720.0,-401.3,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2946487573.97,10198770.2917,-2946487573.97,-2939275954.34,-2953699193.61,-2952978031.64,-2939997116.3,2.0,104014915463000.0,95,0.142903225806,0.142855874575,0.00291636647173,0.142857142857,3.6761913905299995e-14
720.0,-489.9,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,804562.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2948922026.82,520771.510372,-2948922026.82,-2948553785.75,-2949290267.89,-2949253443.78,-2948590609.86,2.0,271202966015.0,150,0.142822580645,0.14285765017,0.0029147568946,0.142857142857,3.6761913905299995e-14
720.0,-667.0,-5632.7,-1e+200,-1e+200,-1e+200,-1e+200,402281.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2952789625.32,19825266.8468,-2952789625.32,-2938771044.7,-2966808205.95,-2965406347.89,-2940172902.76,2.0,393041205548000.0,70,0.0714516129032,0.142855874575,0.00145818323587,0.142857142857,3.6761913905299995e-14
720.0,-312.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-2953767489.92,26257783.9597,-2953767489.92,-2935200432.83,-2972334547.02,-2970477841.31,-2937057138.54,2.0,689471218473000.0,40,0.142903225806,0.0714270494897,0.000729082555852,0.0714285714286,0.0
