smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-ft_capacity,PointProbability
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-799237421.26,3942514.13937,-799584208.42,-794122456.3,-803658811.901,-803134967.81,-794854372.687,4.0,15543417739200.0,0.00389897189959,0.125002976198,123,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-818501764.668,4262080.45057,-818081164.963,-813955181.859,-823889546.886,-823241849.202,-814350519.72,4.0,18165329767100.0,0.00779753121829,0.249992724848,107,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-838460803.535,2280266.24069,-838457476.737,-835720223.865,-841208036.803,-840873449.381,-836052815.207,4.0,5199614128420.0,0.0038985593187,0.12498974865,102,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-860686734.86,1211375.58618,-861109059.36,-858972588.268,-861556232.454,-861552018.111,-859230197.31,4.0,1467430810800.0,0.00779798505727,0.250007275152,112,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-905676152.115,3254220.24527,-905445180.772,-901936051.003,-909878195.913,-909227324.593,-902448339.517,4.0,10589949404700.0,0.00779798505727,0.250007275152,117,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-949241354.948,1726661.79644,-949991648.462,-946663310.273,-950318812.593,-950280848.53,-947151450.444,4.0,2981360959290.0,0.00389897189959,0.125002976198,122,0.249546279492,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-970990036.548,906632.914204,-971164273.143,-969779295.049,-971852304.857,-971796037.318,-969940104.545,4.0,821983241118.0,0.00391294293863,0.249992724848,106,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-999359704.886,1764109.20736,-999404138.633,-997233830.567,-1001396711.71,-1001184226.06,-997472976.468,4.0,3112081295480.0,0.00195636794902,0.12498974865,101,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1013947777.47,2124416.42585,-1013566800.47,-1011907749.74,-1016749759.21,-1016390250.78,-1012038671.97,4.0,4513145150440.0,0.00391317068328,0.250007275152,111,0.125226860254,0.124990974078,3.46688419418e-13
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1058209209.71,1230976.14205,-1058382046.92,-1056798418.29,-1059274326.71,-1059264239.5,-1056912207.82,4.0,1515302262290.0,0.00391317068328,0.250007275152,116,0.125226860254,0.124990974078,3.46688419418e-13
