smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,ProbabilityWeight-h2_storage_capacity
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1528320959.27,1095146.2294,-1528320959.27,-1527546573.95,-1529095344.6,-1529017906.07,-1527624012.48,2.0,1199345263770.0,115,0.125018050542,0.00389984363975,0.249546279492,3.66466187075e-13,0.125003845369
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1549481427.09,264463.899409,-1549481427.09,-1549294422.87,-1549668431.31,-1549649730.88,-1549313123.29,2.0,69941154090.4,10,0.125018050542,0.00391358705936,0.250453720508,3.66466187075e-13,0.12498986221
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1566317129.23,805553.230933,-1566317129.23,-1565747517.08,-1566886741.38,-1566829780.16,-1565804478.29,2.0,648916007866.0,35,0.125018050542,0.00782761194871,0.250453720508,3.66466187075e-13,0.249993707579
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1605986403.07,799493.524254,-1605986403.07,-1605421075.78,-1606551730.36,-1606495197.63,-1605477608.51,2.0,639189895324.0,60,0.125018050542,0.00782800599569,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1645571139.06,444211.366646,-1645571139.06,-1645257034.19,-1645885243.93,-1645853833.44,-1645288444.68,2.0,197323738257.0,85,0.125018050542,0.00782800599569,0.250453720508,3.66466187075e-13,0.250006292421
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,357583.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1686754970.12,560541.50054,-1686754970.12,-1686358607.42,-1687151332.81,-1687111696.54,-1686398243.69,2.0,314206773828.0,110,0.125018050542,0.00391402488934,0.250453720508,3.66466187075e-13,0.125003845369
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1709211498.9,609448.504123,-1709211498.9,-1708780553.73,-1709642444.07,-1709599349.55,-1708823648.24,2.0,371427479178.0,5,0.125018050542,0.00195679352968,0.125226860254,3.66466187075e-13,0.12498986221
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,89396.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1722959189.54,1505263.58457,-1722959189.54,-1721894807.46,-1724023571.63,-1723917133.42,-1722001245.66,2.0,2265818459040.0,30,0.125018050542,0.00391380597435,0.125226860254,3.66466187075e-13,0.249993707579
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,178792.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1763779578.07,781679.282605,-1763779578.07,-1763226847.35,-1764332308.79,-1764277035.72,-1763282120.42,2.0,611022500854.0,55,0.125018050542,0.00391400299785,0.125226860254,3.66466187075e-13,0.250006292421
720.0,-667.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,268187.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1804105106.5,146929.258294,-1804105106.5,-1804001211.83,-1804209001.18,-1804198611.71,-1804011601.3,2.0,21588206942.8,80,0.125018050542,0.00391400299785,0.125226860254,3.66466187075e-13,0.250006292421
