smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight,prefix,ProbabilityWeight-htse_capacity
720.0,-312.7,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2717315787.78,895140.972699,-2717315787.78,-2716682827.52,-2717948748.03,-2717885452.0,-2716746123.55,2.0,801277361004.0,0.0,0.0714285714286,0.14285279261,0.0014581517771,104,0.142903225806
720.0,-578.4,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2800905616.29,6285594.22437,-2800905616.29,-2796461029.99,-2805350202.59,-2804905743.96,-2796905488.62,2.0,39508694753400.0,1.28667840979e-13,0.142857142857,0.14285279261,0.00291465778471,79,0.142822580645
720.0,-401.3,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2807212714.12,10841608.352,-2807212714.12,-2799546539.33,-2814878888.9,-2814112271.42,-2800313156.81,2.0,117540471659000.0,0.0,0.0714285714286,0.0714229782537,0.000729040999226,32,0.142903225806
720.0,-578.4,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2808153790.46,10711981.9377,-2808153790.46,-2800579275.39,-2815728305.53,-2814970854.02,-2801336726.9,2.0,114746557033000.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.00145725915308,15,0.142822580645
720.0,-401.3,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2831714408.32,9437297.08979,-2831714408.32,-2825041231.55,-2838387585.09,-2837720267.41,-2825708549.23,2.0,89062576360900.0,0.0,0.0714285714286,0.14285279261,0.0014581517771,96,0.142903225806
720.0,-667.0,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2897254142.47,4317220.58344,-2897254142.47,-2894201406.52,-2900306878.42,-2900001604.82,-2894506680.11,2.0,18638393566100.0,1.28667840979e-13,0.142857142857,0.14285279261,0.0014581517771,71,0.0714516129032
720.0,-667.0,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2917989571.03,2226290.91064,-2917989571.03,-2916415345.63,-2919563796.43,-2919406373.89,-2916572768.17,2.0,4956371218800.0,1.28667840979e-13,0.142857142857,0.0714229782537,0.000729040999226,7,0.0714516129032
720.0,-489.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2923358921.46,3120897.85214,-2923358921.46,-2921152113.43,-2925565729.5,-2925345048.69,-2921372794.23,2.0,9740003403480.0,0.0,0.0714285714286,0.0714229782537,0.00072862957654,24,0.142822580645
720.0,-489.9,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2936475781.01,17290902.2195,-2936475781.01,-2924249266.79,-2948702295.22,-2947479643.8,-2925471918.21,2.0,298975299564000.0,0.0,0.0714285714286,0.14285279261,0.00145732889235,88,0.142822580645
720.0,-667.0,-3406.9,-1e+200,-1e+200,-1e+200,-1e+200,229875.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-2960850297.49,4198667.70696,-2960850297.49,-2957881391.08,-2963819203.9,-2963522313.26,-2958178281.73,2.0,17628810513400.0,1.28667840979e-13,0.142857142857,0.142859007249,0.00145821521224,135,0.0714516129032
720.0,-578.4,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3017954139.31,1454176.68872,-3017954139.31,-3016925881.11,-3018982397.5,-3018879571.68,-3017028706.93,2.0,2114629842020.0,0.0,0.0714285714286,0.0714229782537,0.00072862957654,16,0.142822580645
720.0,-578.4,-1181.1,-1e+200,-1e+200,-1e+200,-1e+200,114937.0,1e+200,-1e+200,ref,davis_besse,ohio,ohio,-3044558188.61,7243279.7569,-3044558188.61,-3039436416.38,-3049679960.84,-3049167783.62,-3039948593.6,2.0,52465101636800.0,0.0,0.0714285714286,0.14285279261,0.00145732889235,80,0.142822580645
