smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-meoh_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight
720.0,-460.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-615541272.469,10447140.0407,-615541272.469,-608154028.902,-622928516.035,-622189791.679,-608892753.259,2.0,109142735029000.0,38,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-629926037.845,14903906.1583,-629926037.845,-619387384.735,-640464690.956,-639410825.645,-620441250.046,2.0,222126418775000.0,7,0.111128939092,0.0556451612903,0.055553937791,3.6760970142599995e-14,0.000343533759411
720.0,-116.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-630447925.62,16587148.3312,-630447925.62,-618719040.554,-642176810.686,-641003922.179,-619891929.061,2.0,275133489761000.0,90,0.055548424363,0.111290322581,0.055553937791,3.6760970142599995e-14,0.00034343455821
720.0,-391.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-636544831.906,46701427.056,-636544831.906,-603521936.143,-669567727.668,-666265438.092,-606824225.719,2.0,2181023289070000.0,148,0.111128939092,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136420151812
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-659938724.948,10474349.7917,-659938724.948,-652532241.182,-667345208.715,-666604560.338,-653272889.559,2.0,109712003559000.0,169,0.111096848726,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137376238165
720.0,-185.0,-1181.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-665458848.262,2980393.20799,-665458848.262,-663351392.014,-667566304.51,-667355558.885,-663562137.639,2.0,8882743674220.0,80,0.055548424363,0.111290322581,0.055553937791,3.6760970142599995e-14,0.00034343455821
720.0,-323.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-666595319.179,40515672.9475,-666595319.179,-637946412.093,-695244226.264,-692379335.556,-640811302.802,2.0,1641519754390000.0,59,0.111096848726,0.110483870968,0.055553937791,3.6760970142599995e-14,0.000681891803981
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-670848547.821,10388131.0943,-670848547.821,-663503029.88,-678194065.762,-677459513.968,-664237581.675,2.0,107913267633000.0,107,0.111128939092,0.0556451612903,0.111109828737,3.6760970142599995e-14,0.000687079596716
720.0,-529.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-688706784.008,17501587.8321,-688706784.008,-676331292.571,-701082275.446,-699844726.302,-677568841.714,2.0,306305576644000.0,28,0.111128939092,0.111290322581,0.055553937791,3.6760970142599995e-14,0.000687067518821
720.0,-460.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-693045677.784,34842241.4697,-693045677.784,-668408492.569,-717682862.999,-715219144.477,-670872211.09,2.0,1213981790630000.0,138,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-529.0,-4643.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-744637821.734,2337999.88419,-744637821.734,-742984606.161,-746291037.306,-746125715.749,-743149927.718,2.0,5466243458480.0,128,0.111128939092,0.111290322581,0.111109828737,3.6760970142599995e-14,0.00137415919343
720.0,-323.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,312885.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-745611809.761,6514583.80324,-745611809.761,-741005303.377,-750218316.144,-749757665.506,-741465954.015,2.0,42439802129400.0,159,0.111096848726,0.110483870968,0.111109828737,3.6760970142599995e-14,0.00136380758179
