npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,PointProbability
1280.0,-800.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,86714102.3471,8775265.5925,86714102.3471,92919152.1543,80509052.54,81129557.5207,92298647.1736,2.0,77005286218900.0,107,0.00781250851242,0.125000136199,0.25,0.25,8.656992832709999e-15
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,50465972.8113,145570252.065,50465972.8113,153399685.185,-52467739.5629,-42174368.3255,143106313.948,2.0,2.11906982863e+16,119,0.00781250851242,0.125000136199,0.25,0.25,8.656992832709999e-15
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-62629507.7944,45737391.018,-62629507.7944,-30288288.4518,-94970727.1371,-91736605.2028,-33522410.3861,2.0,2091908937130000.0,102,0.00390625425621,0.125000136199,0.125,0.25,8.656992832709999e-15
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-74112928.367,13911528.7855,-74112928.367,-64275992.0261,-83949864.7079,-82966171.0738,-65259685.6602,2.0,193530633150000.0,108,0.00781330303175,0.125000136199,0.25,0.250025424591,8.656992832709999e-15
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-94843528.5459,73279980.9839,-94843528.5459,-43026757.067,-146660300.025,-141478622.877,-48208434.2149,2.0,5369955613000000.0,125,0.00195292849827,0.125000136199,0.125,0.124987287705,8.656992832709999e-15
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-121042724.141,27416356.5545,-121042724.141,-101656432.506,-140429015.776,-138490386.613,-103595061.669,2.0,751656606724000.0,120,0.00390585699655,0.125000136199,0.25,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-132181360.666,9072950.6977,-132181360.666,-125765815.702,-138596905.629,-137955351.133,-126407370.198,2.0,82318434363000.0,80,0.00390585806049,0.250000340497,0.125,0.124987287705,8.656992832709999e-15
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-160375070.913,3296028.53063,-160375070.913,-158044426.788,-162705715.038,-162472650.626,-158277491.201,2.0,10863804074700.0,103,0.00390665151587,0.125000136199,0.125,0.250025424591,8.656992832709999e-15
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-223401855.278,29311622.694,-223401855.278,-202675408.104,-244128302.453,-242055657.735,-204748052.821,2.0,859171224958000.0,114,0.00781250851242,0.125000136199,0.25,0.25,8.656992832709999e-15
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-317603471.335,90001280.2307,-317603471.335,-253962955.768,-381243986.901,-374879935.345,-260327007.325,2.0,8100230443170000.0,109,0.00781250851242,0.125000136199,0.25,0.25,8.656992832709999e-15
