npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,ProbabilityWeight-ft_capacity,prefix
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160514216427.0,17960946.4371,-160514216427.0,-160501516120.0,-160526916734.0,-160525646703.0,-160502786151.0,2.0,322595596915000.0,0.250006184017,2.78193391732e-13,0.250420168067,0.0156516476548,0.25,94
769.0,-308.0,-7743.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160558338948.0,15853333.5046,-160558338948.0,-160547128948.0,-160569548948.0,-160568427948.0,-160548249948.0,2.0,251328183208000.0,0.125002473607,2.78193391732e-13,0.250420168067,0.00782578511235,0.25,99
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-161959144300.0,3781.44906298,-161959144300.0,-161959141626.0,-161959146973.0,-161959146706.0,-161959141893.0,2.0,14299357.0159,0.124991342377,2.78193391732e-13,0.125210084034,0.00195627206031,0.125,1
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-162003418009.0,5576.59819089,-162003418009.0,-162003414065.0,-162003421952.0,-162003421558.0,-162003414460.0,2.0,31098447.3826,0.249993815983,2.78193391732e-13,0.125210084034,0.0039127183384,0.125,6
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-162047692943.0,5447.05134305,-162047692943.0,-162047689092.0,-162047696795.0,-162047696410.0,-162047689477.0,2.0,29670368.3338,0.250006184017,2.78193391732e-13,0.125210084034,0.0039129119137,0.125,11
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-162091968839.0,7729.96464053,-162091968839.0,-162091963373.0,-162091974305.0,-162091973758.0,-162091963920.0,2.0,59752353.3438,0.250006184017,2.78193391732e-13,0.125210084034,0.0039129119137,0.125,16
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-162136238579.0,1958.08655146,-162136238579.0,-162136237194.0,-162136239963.0,-162136239825.0,-162136237333.0,2.0,3834102.943,0.125002473607,2.78193391732e-13,0.125210084034,0.00195644627809,0.125,21
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614830173691.0,32234408.4355,-614830173691.0,-614807380522.0,-614852966860.0,-614850687543.0,-614809659839.0,2.0,1039057087190000.0,0.124991342377,2.78193391732e-13,0.125210084034,0.00195627206031,0.125,105
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614895564980.0,3878342.54434,-614895564980.0,-614892822578.0,-614898307383.0,-614898033142.0,-614893096818.0,2.0,15041540891200.0,0.250006184017,2.78193391732e-13,0.125210084034,0.0039129119137,0.125,115
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614898903461.0,41431160.2603,-614898903461.0,-614869607206.0,-614928199715.0,-614925270090.0,-614872536832.0,2.0,1716541040520000.0,0.249993815983,2.78193391732e-13,0.125210084034,0.0039127183384,0.125,110
