npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,prefix,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-530981576.497,2891913.35946,-530981576.497,-528936684.95,-533026468.044,-532821978.889,-529141174.104,2.0,8363162878630.0,79,0.125210084034,0.25000088556,0.249982898967,4.07233133368e-14,0.00782512266501
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,1411542.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-539787728.917,25600267.1391,-539787728.917,-521685606.422,-557889851.411,-556079639.161,-523495818.672,2.0,655373677592000.0,55,0.125210084034,0.25000088556,0.124974348451,4.07233133368e-14,0.00391202602517
769.0,-472.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-552910941.378,9818393.3318,-552910941.378,-545968288.873,-559853593.884,-559159328.633,-546662554.124,2.0,96400847617900.0,114,0.249579831933,0.12500044278,0.249982898967,4.07233133368e-14,0.00779886386412
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-562156752.832,40710710.5128,-562156752.832,-533369933.361,-590943572.302,-588064890.355,-536248615.308,2.0,1657361950460000.0,90,0.249579831933,0.25000088556,0.124974348451,4.07233133368e-14,0.00779779684211
769.0,-174.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-584663349.19,15703769.0763,-584663349.19,-573559107.586,-595767590.794,-594657166.634,-574669531.747,2.0,246608363201000.0,125,0.125210084034,0.12500044278,0.124974348451,4.07233133368e-14,0.00195601301258
769.0,-620.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-718506476.563,15242411.4073,-718506476.563,-707728464.095,-729284489.031,-728206687.784,-708806265.342,2.0,232331105511000.0,109,0.249579831933,0.12500044278,0.249982898967,4.07233133368e-14,0.00779886386412
769.0,-620.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-740678012.084,27458122.3055,-740678012.084,-721262187.603,-760093836.565,-758152254.117,-723203770.051,2.0,753948480542000.0,85,0.249579831933,0.25000088556,0.124974348451,4.07233133368e-14,0.00779779684211
769.0,-323.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-803404177.29,19571377.5836,-803404177.29,-789565123.484,-817243231.097,-815859325.716,-790949028.865,2.0,383038820519000.0,120,0.250420168067,0.12500044278,0.124974348451,4.07233133368e-14,0.00391202602517
769.0,-769.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2117313.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-894676419.522,11499792.4744,-894676419.522,-886544838.281,-902808000.763,-901994842.639,-887357996.405,2.0,132245226954000.0,80,0.125210084034,0.25000088556,0.124974348451,4.07233133368e-14,0.00391202602517
769.0,-769.0,-7940.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-894831158.457,11254481.7194,-894831158.457,-886873038.114,-902789278.8,-901993466.765,-887668850.149,2.0,126663358773000.0,104,0.125210084034,0.12500044278,0.249982898967,4.07233133368e-14,0.0039125613325
769.0,-472.0,-4286.0,-1e+200,-1e+200,-1e+200,-1e+200,2823084.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-952131963.019,9432595.10562,-952131963.019,-945462111.055,-958801814.982,-958134829.786,-946129096.252,2.0,88973850426600.0,115,0.249579831933,0.12500044278,0.124974348451,4.07233133368e-14,0.00389889842105
