npp_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,PointProbability,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-meoh_capacity
1280.0,-1000.0,-19667.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-566521990.513,16786217.8173,-566521990.513,-554652342.064,-578391638.962,-577204674.117,-555839306.909,2.0,281777108611000.0,0.00390625425621,0.125,8.656992832709999e-15,102,0.125000136199,0.25
1280.0,-800.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-595414930.697,37896607.8827,-595414930.697,-568617982.28,-622211879.115,-619532184.274,-571297677.121,2.0,1436152889020000.0,0.00781171612099,0.25,8.656992832709999e-15,85,0.250000340497,0.124987287705
1280.0,-400.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-603065044.469,44452803.7882,-603065044.469,-571632165.468,-634497923.47,-631354635.57,-574775453.368,2.0,1976051764630000.0,0.00781250851242,0.25,8.656992832709999e-15,119,0.125000136199,0.25
1280.0,-200.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-680377763.596,5934716.98547,-680377763.596,-676181284.971,-684574242.221,-684154594.358,-676600932.834,2.0,35220865697600.0,0.00195292849827,0.125,8.656992832709999e-15,125,0.125000136199,0.124987287705
1280.0,-800.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-711633494.609,832805.417529,-711633494.609,-711044612.251,-712222376.968,-712163488.732,-711103500.487,2.0,693564863466.0,0.00781330303175,0.25,8.656992832709999e-15,108,0.125000136199,0.250025424591
1280.0,-600.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-835956162.77,26104883.7517,-835956162.77,-817497222.447,-854415103.093,-852569209.061,-819343116.48,2.0,681464955687000.0,0.00781250851242,0.25,8.656992832709999e-15,114,0.125000136199,0.25
1280.0,-1000.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,5506667.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-850764112.925,96959204.0348,-850764112.925,-782203602.254,-919324623.597,-912468572.53,-789059653.321,2.0,9401087247060000.0,0.00390585806049,0.125,8.656992832709999e-15,80,0.250000340497,0.124987287705
1280.0,-1000.0,-14750.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-873352772.685,43733951.4916,-873352772.685,-842428199.017,-904277346.353,-901184888.986,-845520656.384,2.0,1912658513070000.0,0.00390665151587,0.125,8.656992832709999e-15,103,0.125000136199,0.250025424591
1280.0,-400.0,-4917.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-911236736.186,14401317.9353,-911236736.186,-901053466.616,-921420005.756,-920401678.799,-902071793.573,2.0,207397958275000.0,0.00390585699655,0.25,8.656992832709999e-15,120,0.125000136199,0.124987287705
1280.0,-800.0,-9833.0,-1e+200,-1e+200,-1e+200,-1e+200,7342222.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,covid,-1029848472.54,81526884.5317,-1029848472.54,-972200259.634,-1087496685.44,-1081731864.15,-977965080.924,2.0,6646632901450000.0,0.00781250851242,0.25,8.656992832709999e-15,109,0.125000136199,0.25
