smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,ProbabilityWeight-meoh_capacity,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-399130190.719,1910948.63681,-399130190.719,-397778945.979,-400481435.458,-400346310.984,-397914070.453,2.0,3651724692530.0,0.25,0.125039974416,0.250012469201,1.28632009175e-11,65,0.00781538818817
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-400199681.363,650135.785301,-400199681.363,-399739965.94,-400659396.785,-400613425.243,-399785937.483,2.0,422676539328.0,0.125,0.250079948833,0.250012469201,1.28632009175e-11,54,0.00781538818817
240.0,-94.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-408822392.487,1078628.78513,-408822392.487,-408059686.759,-409585098.215,-409508827.643,-408135957.332,2.0,1163440056120.0,0.25,0.125039974416,0.125006234601,1.28632009175e-11,120,0.00390769409408
240.0,-156.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-410484974.564,324271.62592,-410484974.564,-410255679.899,-410714269.23,-410691339.763,-410278609.365,2.0,105152087377.0,0.25,0.250079948833,0.125006234601,1.28632009175e-11,109,0.00781538818817
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-412142510.776,1541710.60621,-412142510.776,-411052356.752,-413232664.801,-413123649.398,-411161372.154,2.0,2376871593310.0,0.25,0.125039974416,0.249987530799,1.28632009175e-11,35,0.00781460861388
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-413749614.243,150513.971413,-413749614.243,-413643184.793,-413856043.693,-413845400.748,-413653827.738,2.0,22654455590.6,0.25,0.125039974416,0.124981296198,1.28632009175e-11,10,0.00390691451979
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-419489531.16,1504784.24517,-419489531.16,-418425488.016,-420553574.304,-420447169.99,-418531892.33,2.0,2264375624500.0,0.25,0.125039974416,0.250012469201,1.28632009175e-11,90,0.00781538818817
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-421667565.602,885921.889454,-421667565.602,-421041124.226,-422294006.977,-422231362.84,-421103768.364,2.0,784857594214.0,0.125,0.250079948833,0.250012469201,1.28632009175e-11,79,0.00781538818817
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-435380891.375,1093742.70036,-435380891.375,-434607498.495,-436154284.256,-436076944.968,-434684837.783,2.0,1196273094590.0,0.25,0.125039974416,0.250012469201,1.28632009175e-11,60,0.00781538818817
240.0,-187.0,-2354.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-441837670.386,2059291.95877,-441837670.386,-440381531.078,-443293809.695,-443148195.764,-440527145.009,2.0,4240683371460.0,0.125,0.250079948833,0.125006234601,1.28632009175e-11,104,0.00390769409408
240.0,-125.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-442098266.16,1675776.15582,-442098266.16,-440913313.476,-443283218.843,-443164723.575,-441031808.745,2.0,2808225724410.0,0.25,0.125039974416,0.125006234601,1.28632009175e-11,115,0.00390769409408
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,50126.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-448470235.269,1617212.2823,-448470235.269,-447326693.498,-449613777.041,-449499422.864,-447441047.675,2.0,2615375566020.0,0.125,0.125039974416,0.249987530799,1.28632009175e-11,30,0.00390730430694
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-452019240.828,1817594.04549,-452019240.828,-450734007.753,-453304473.903,-453175950.596,-450862531.061,2.0,3303648114190.0,0.125,0.125039974416,0.124981296198,1.28632009175e-11,5,0.0019534572599
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,150378.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-456497604.929,1004617.12362,-456497604.929,-455787233.348,-457207976.509,-457136939.351,-455858270.506,2.0,1009255565060.0,0.25,0.125039974416,0.250012469201,1.28632009175e-11,85,0.00781538818817
240.0,-187.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,100252.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-470926560.185,669113.851555,-470926560.185,-470453425.243,-471399695.126,-471352381.632,-470500738.737,2.0,447713346343.0,0.125,0.125039974416,0.250012469201,1.28632009175e-11,55,0.00390769409408
240.0,-156.0,-1572.0,-1e+200,-1e+200,-1e+200,-1e+200,200504.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,-477533585.83,1145926.38135,-477533585.83,-476723293.515,-478343878.145,-478262848.913,-476804322.746,2.0,1313147271480.0,0.25,0.125039974416,0.125006234601,1.28632009175e-11,110,0.00390769409408
