smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1776103742.76,169334.434365,-1776114520.95,-1775918328.64,-1776267600.5,-1776261261.64,-1775931134.41,4.0,28674150661.7,0.124990974078,0.249992724848,108,0.00779753121829,3.46688419418e-13,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1777481918.19,514982.573152,-1777529641.4,-1776871152.36,-1777997237.63,-1777968515.19,-1776928508.72,4.0,265207050650.0,0.124990974078,0.12498974865,103,0.0038985593187,3.46688419418e-13,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1796699369.66,722008.984806,-1796947876.89,-1795680901.41,-1797220823.45,-1797218298.4,-1795832530.8,4.0,521296974141.0,0.124990974078,0.250007275152,113,0.00779798505727,3.46688419418e-13,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1819197462.5,285795.366015,-1819196211.97,-1818852865.94,-1819544560.13,-1819500392.82,-1818896282.93,4.0,81678991235.8,0.124990974078,0.250007275152,118,0.00779798505727,3.46688419418e-13,0.249546279492
720.0,-430.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1840632676.64,765314.062529,-1840714351.35,-1839645273.98,-1841456729.88,-1841377148.25,-1839773860.44,4.0,585705614304.0,0.124990974078,0.125002976198,123,0.00389897189959,3.46688419418e-13,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1896500014.77,355266.676769,-1896499118.53,-1896098072.49,-1896903749.51,-1896867721.15,-1896133563.11,4.0,126214411622.0,0.124990974078,0.249992724848,107,0.00779753121829,3.46688419418e-13,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1901560232.96,490427.048463,-1901383145.51,-1901204608.67,-1902270032.15,-1902154921.68,-1901213466.67,4.0,240518689864.0,0.124990974078,0.12498974865,102,0.0038985593187,3.46688419418e-13,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1918303000.76,447855.106285,-1918364237.72,-1917752629.64,-1918730897.97,-1918710790.98,-1917809478.79,4.0,200574196226.0,0.124990974078,0.250007275152,112,0.00779798505727,3.46688419418e-13,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1940983628.69,622615.269258,-1941110169.41,-1940213564.58,-1941500611.38,-1941497225.35,-1940292875.03,4.0,387649773514.0,0.124990974078,0.250007275152,117,0.00779798505727,3.46688419418e-13,0.249546279492
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1963448041.69,387648.46171,-1963397551.01,-1963058940.32,-1963938124.43,-1963881716.59,-1963085053.76,4.0,150271329866.0,0.124990974078,0.125002976198,122,0.00389897189959,3.46688419418e-13,0.249546279492
