npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity,prefix
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-159963324181.0,5304.35085895,-159963324181.0,-159963320430.0,-159963327932.0,-159963327557.0,-159963320805.0,2.0,28136138.0349,0.0039127183384,2.78193391732e-13,0.125210084034,0.249993815983,0.125,6
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160007597128.0,3431.44452065,-160007597128.0,-160007594702.0,-160007599554.0,-160007599312.0,-160007594944.0,2.0,11774811.4983,0.0039129119137,2.78193391732e-13,0.125210084034,0.250006184017,0.125,11
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160051874409.0,1863.76015118,-160051874409.0,-160051873091.0,-160051875727.0,-160051875595.0,-160051873223.0,2.0,3473601.90113,0.0039129119137,2.78193391732e-13,0.125210084034,0.250006184017,0.125,16
769.0,-754.0,-18951.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-160096150295.0,2432.47451706,-160096150295.0,-160096148575.0,-160096152015.0,-160096151843.0,-160096148747.0,2.0,5916932.27613,0.00195644627809,2.78193391732e-13,0.125210084034,0.125002473607,0.125,21
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614600450311.0,4275087.20131,-614600450311.0,-614597427368.0,-614603473254.0,-614603170960.0,-614597729662.0,2.0,18276370578800.0,0.00195627206031,2.78193391732e-13,0.125210084034,0.124991342377,0.125,105
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614632831402.0,4787635.37923,-614632831402.0,-614629446032.0,-614636216771.0,-614635878234.0,-614629784569.0,2.0,22921452524500.0,0.0039127183384,2.78193391732e-13,0.125210084034,0.249993815983,0.125,110
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,202139.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614681598903.0,4937691.61222,-614681598903.0,-614678107428.0,-614685090378.0,-614684741231.0,-614678456575.0,2.0,24380798457400.0,0.0039129119137,2.78193391732e-13,0.125210084034,0.250006184017,0.125,115
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,303209.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614771494766.0,2803679.84012,-614771494766.0,-614769512265.0,-614773477267.0,-614773279017.0,-614769710515.0,2.0,7860620645870.0,0.0039129119137,2.78193391732e-13,0.125210084034,0.250006184017,0.125,120
769.0,-159.0,-4007.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,404278.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614775701316.0,20313504.8692,-614775701316.0,-614761337499.0,-614790065133.0,-614788628751.0,-614762773880.0,2.0,412638480070000.0,0.00195644627809,2.78193391732e-13,0.125210084034,0.125002473607,0.125,125
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614836425531.0,3945118.96069,-614836425531.0,-614833635911.0,-614839215151.0,-614838936189.0,-614833914873.0,2.0,15563963614000.0,0.00779882955587,2.78193391732e-13,0.249579831933,0.124991342377,0.25,27
769.0,-605.0,-15215.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,101070.0,1e+200,-1e+200,ref,cooper,nebraska,covid,-614880107396.0,2771652.8727,-614880107396.0,-614878147542.0,-614882067251.0,-614881871265.0,-614878343527.0,2.0,7682059646750.0,0.0155983536443,2.78193391732e-13,0.249579831933,0.249993815983,0.25,32
