smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-htse_capacity,prefix,ProbabilityWeight,PointProbability,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-985134606.277,1063100.6523,-985027376.863,-983948730.306,-986534941.079,-986310683.905,-984108649.831,4.0,1130182996910.0,0.249546279492,117,0.00779798505727,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-567.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1040214477.6,1265822.68155,-1039986431.23,-1038971345.03,-1041913702.91,-1041679742.58,-1039068477.54,4.0,1602307061130.0,0.249546279492,122,0.00389897189959,3.46688419418e-13,0.124990974078,0.125002976198
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1050267625.19,1261114.02684,-1050032299.93,-1049090795.5,-1051915105.38,-1051712152.77,-1049152552.96,4.0,1590408588700.0,0.125226860254,106,0.00391294293863,3.46688419418e-13,0.124990974078,0.249992724848
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1065116923.91,658780.549922,-1065245983.91,-1064291510.98,-1065684216.82,-1065673137.77,-1064380026.03,4.0,433991812956.0,0.125226860254,101,0.00195636794902,3.46688419418e-13,0.124990974078,0.12498974865
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1102444850.5,2513443.75292,-1102806981.87,-1099569551.08,-1104595887.19,-1104582895.6,-1099799821.49,4.0,6317399499080.0,0.125226860254,111,0.00391317068328,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1156879742.19,2963157.33716,-1156632884.33,-1153730381.3,-1160522818.78,-1160123912.3,-1153981173.07,4.0,8780301404790.0,0.125226860254,116,0.00391317068328,3.46688419418e-13,0.124990974078,0.250007275152
720.0,-705.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1209631523.29,3924630.32912,-1209172290.12,-1205490550.02,-1214690962.9,-1214048118.45,-1205857854.57,4.0,15402723220200.0,0.125226860254,121,0.00195657498961,3.46688419418e-13,0.124990974078,0.125002976198
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145407381986.0,505.001600885,-145407382030.0,-145407381344.0,-145407382539.0,-145407382485.0,-145407381425.0,4.0,255026.616896,0.125226860254,1,0.00195636794902,3.46688419418e-13,0.124990974078,0.12498974865
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,94502.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145461853941.0,164.930771771,-145461853957.0,-145461853750.0,-145461854101.0,-145461854094.0,-145461853766.0,4.0,27202.1594771,0.125226860254,6,0.00391294293863,3.46688419418e-13,0.124990974078,0.249992724848
720.0,-705.0,-17719.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-145516331131.0,143.533937897,-145516331102.0,-145516331001.0,-145516331319.0,-145516331296.0,-145516331007.0,4.0,20601.9913283,0.125226860254,11,0.00391317068328,3.46688419418e-13,0.124990974078,0.250007275152
