smr_capacity,htse_capacity,meoh_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-meoh_capacity,PointProbability,ProbabilityWeight,ProbabilityWeight-htse_capacity
720.0,-529.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1584973736.1,28889628.4051,-1584973736.1,-1564545683.95,-1605401788.25,-1603358983.04,-1566588489.17,2.0,834610629383000.0,0.250000499385,84,0.25,2.6175466018599997e-14,0.0156533888,0.250453720508
720.0,-254.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1652798478.47,37569776.4672,-1652798478.47,-1626232634.76,-1679364322.18,-1676707737.81,-1628889219.13,2.0,1411488103790000.0,0.250000499385,95,0.125018050542,2.6175466018599997e-14,0.00779946292521,0.249546279492
720.0,-391.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1659584957.5,27781611.3489,-1659584957.5,-1639940391.72,-1679229523.27,-1677265066.7,-1641904848.3,2.0,771817929141000.0,0.125000249693,113,0.249963898917,2.6175466018599997e-14,0.00779721069797,0.249546279492
720.0,-667.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1708992085.64,2712817.57395,-1708992085.64,-1707073833.94,-1710910337.35,-1710718512.18,-1707265659.11,2.0,7359379189520.0,0.250000499385,79,0.25,2.6175466018599997e-14,0.0078266944,0.125226860254
720.0,-529.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1759439279.76,5244381.58523,-1759439279.76,-1755730941.98,-1763147617.54,-1762776783.76,-1756101775.75,2.0,27503538211500.0,0.125000249693,108,0.249963898917,2.6175466018599997e-14,0.00782556419142,0.250453720508
720.0,-391.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1801303464.66,14379708.3383,-1801303464.66,-1791135475.39,-1811471453.94,-1810454655.01,-1792152274.31,2.0,206776011895000.0,0.250000499385,90,0.125018050542,2.6175466018599997e-14,0.00779946292521,0.249546279492
720.0,-254.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1852055449.28,17770675.8544,-1852055449.28,-1839489683.88,-1864621214.68,-1863364638.14,-1840746260.42,2.0,315796920321000.0,0.125000249693,119,0.25,2.6175466018599997e-14,0.00779833681159,0.249546279492
720.0,-667.0,-9837.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1912698568.2,6225947.37095,-1912698568.2,-1908296158.59,-1917100977.8,-1916660736.84,-1908736399.55,2.0,38762420665900.0,0.125000249693,103,0.249963898917,2.6175466018599997e-14,0.00391278209571,0.125226860254
720.0,-391.0,-6375.0,-1e+200,-1e+200,-1e+200,-1e+200,5006164.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1954731297.95,10890627.9669,-1954731297.95,-1947030461.07,-1962432134.84,-1961662051.15,-1947800544.76,2.0,118605777512000.0,0.125000249693,114,0.25,2.6175466018599997e-14,0.00779833681159,0.249546279492
720.0,-529.0,-2912.0,-1e+200,-1e+200,-1e+200,-1e+200,3754623.0,1e+200,-1e+200,ref,south_texas_project,west_south_central,texas,-1990419972.06,9194942.1747,-1990419972.06,-1983918166.1,-1996921778.03,-1996271597.43,-1984568346.69,2.0,84546961596000.0,0.250000499385,85,0.125018050542,2.6175466018599997e-14,0.00782782460857,0.250453720508
