npp_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,elec_data_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,PointProbability,ProbabilityWeight-htse_capacity,ProbabilityWeight,prefix,ProbabilityWeight-h2_storage_capacity,ProbabilityWeight-ft_capacity
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1286309503.1,5501157.78712,1284730020.26,1294206213.67,1281571758.23,1281939728.14,1292890554.05,4.0,30262736998800.0,8.47275451554e-14,0.124645892351,0.00779045918698,91,0.250002917546,0.25
894.0,-350.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1254272810.03,3793958.11795,1253480807.65,1259245304.81,1250884320.03,1251020114.6,1258634308.8,4.0,14394118200700.0,8.47275451554e-14,0.25,0.00390629558665,124,0.125001458773,0.125
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1247627954.33,3649908.39092,1247157881.79,1252213219.08,1243982834.66,1244216944.92,1251697065.3,4.0,13321831262100.0,8.47275451554e-14,0.25,0.00781257459634,113,0.250002387083,0.125
894.0,-879.0,-8790.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1211325198.05,2627824.66294,1211352699.11,1214135602.9,1208459791.08,1208666094.13,1213945800.48,4.0,6905462459150.0,8.47275451554e-14,0.124645892351,0.00389522959349,96,0.125001458773,0.25
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1177579075.55,7506846.80527,1175363117.79,1188431627.77,1171158438.87,1171737740.35,1186522751.63,4.0,56352748957800.0,8.47275451554e-14,0.25,0.00781259117331,118,0.250002917546,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,235646.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1176953718.28,3052018.6739,1177655663.61,1179441514.15,1173062031.76,1173499526.78,1179425186.33,4.0,9314817985850.0,8.47275451554e-14,0.25,0.00781240882669,107,0.249997082454,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1169453898.37,4437044.03616,1169571446.62,1173953012.65,1164719687.59,1165018183.22,1173725045.97,4.0,19687359778800.0,8.47275451554e-14,0.25,0.003906129817,102,0.124996154144,0.125
894.0,-526.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,942583.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1109881999.67,2551692.46362,1109607339.64,1113246100.78,1107067218.65,1107408217.63,1112740305.77,4.0,6511134428880.0,8.47275451554e-14,0.25,0.00390629558665,123,0.125001458773,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,471291.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1097362320.83,8967332.17457,1093809958.19,1110677399.88,1091151967.04,1091510872.71,1108187076.63,4.0,80413046329000.0,8.47275451554e-14,0.25,0.00781257459634,112,0.250002387083,0.125
894.0,-703.0,-4356.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,706937.0,1e+200,-1e+200,ref,davis_besse,ohio,covid,1021556692.98,9195868.12111,1018323698.78,1034920900.68,1014658473.69,1014935769.09,1032703808.76,4.0,84563990500800.0,8.47275451554e-14,0.25,0.00781259117331,117,0.250002917546,0.125
