smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight-h2_storage_capacity,PointProbability,prefix,ProbabilityWeight-ft_capacity,ProbabilityWeight-htse_capacity,ProbabilityWeight
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1003791699.29,35893405.5361,-991073975.364,-976815241.537,-1056203604.9,-1047300996.68,-978087215.404,4.0,1288336560980000.0,0.250000944804,4.95258127397e-14,87,0.249981948155,0.249546279492,0.0155955752144
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1033591824.83,11396325.4563,-1028785810.79,-1026281664.34,-1050514013.41,-1047456984.11,-1026455085.22,4.0,129876233905000.0,0.249999055196,4.95258127397e-14,110,0.124990974078,0.125226860254,0.00391304202267
720.0,-154.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1035332212.35,36995642.3659,-1029376044.47,-998729868.671,-1083846891.81,-1077636837.31,-1001366222.44,4.0,1368677554060000.0,0.124998488314,4.95258127397e-14,105,0.124990974078,0.125226860254,0.00195650474422
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1038085469.47,31121871.644,-1024969085.8,-1017991236.42,-1084412469.84,-1075858212.66,-1018675663.4,4.0,968570894624000.0,0.249999055196,4.95258127397e-14,81,0.249981948155,0.125226860254,0.00782608404535
720.0,-430.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1055323736.48,6564279.31959,-1054327651.83,-1048683571.08,-1063956071.18,-1062824224.84,-1049217766.63,4.0,43089762985600.0,0.250000944804,4.95258127397e-14,93,0.249981948155,0.249546279492,0.0155955752144
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1075581631.89,14468131.0302,-1074307425.71,-1060336313.96,-1093375362.19,-1091437986.83,-1061509165.61,4.0,209326815506000.0,0.124998488314,4.95258127397e-14,76,0.249981948155,0.125226860254,0.00391300948845
720.0,-705.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1323031.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1116809292.12,10633258.9904,-1116146641.47,-1104517105.94,-1130426779.58,-1128426529.6,-1106119765.53,4.0,113066196758000.0,0.250000944804,4.95258127397e-14,86,0.249981948155,0.125226860254,0.00782614319848
720.0,-292.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,2646062.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1128033214.91,27823774.2541,-1132754415.25,-1089963805.35,-1156660223.78,-1153394703.39,-1096062045.95,4.0,774162413741000.0,0.125000566882,4.95258127397e-14,99,0.249981948155,0.250453720508,0.0078261491138
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1147256097.57,10216678.9711,-1151990728.09,-1131974637.2,-1153068296.91,-1153012910.04,-1134870802.39,4.0,104380529198000.0,0.124998488314,4.95258127397e-14,104,0.124990974078,0.250453720508,0.00391300948845
720.0,-567.0,-7332.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,1984546.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1154395895.96,40849166.2055,-1142885643.12,-1121692066.89,-1210120230.73,-1202558989.0,-1122347156.91,4.0,1668654379680000.0,0.250000944804,4.95258127397e-14,92,0.249981948155,0.249546279492,0.0155955752144
720.0,-292.0,-3870.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,cooper,nebraska,nebraska,-1166416371.84,25309100.6521,-1156134936.09,-1149872673.21,-1203522941.96,-1197233886.5,-1149992867.23,4.0,640550575819000.0,0.249999055196,4.95258127397e-14,109,0.124990974078,0.250453720508,0.00782608404535
