smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,co2_location_label,fuel_region_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-htse_capacity,ProbabilityWeight-h2_storage_capacity,prefix,PointProbability,ProbabilityWeight-ft_capacity
720.0,-567.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,294209656.712,301744.673612,294209656.712,294423022.417,293996291.007,294017627.578,294401685.847,2.0,91049848053.4,0.001374276181,0.111290322581,0.111112156236,343,1.21719856843e-13,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,292639179.424,990801.032101,292639179.424,293339781.553,291938577.296,292008637.509,293269721.34,2.0,981686685212.0,0.00137388660449,0.111290322581,0.111112744118,272,1.21719856843e-13,0.111103979461
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,283507.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,284560271.602,6248.43099835,284560271.602,284564689.91,284555853.295,284556295.125,284564248.08,2.0,39042889.9411,0.00137428345215,0.111290322581,0.111112744118,332,1.21719856843e-13,0.111136071887
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,567013.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,281965421.245,2465176.63487,281965421.245,283708564.361,280222278.13,280396592.441,283534250.049,2.0,6077095841130.0,0.000686939667721,0.0556451612903,0.111112156236,261,1.21719856843e-13,0.111103979461
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,189004.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,265185673.695,3321497.5348,265185673.695,267534327.126,262837020.265,263071885.608,267299461.783,2.0,11032345873700.0,0.000687141726076,0.0556451612903,0.111112744118,321,1.21719856843e-13,0.111136071887
720.0,-567.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,850520.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,262386233.333,1247201.53895,262386233.333,263268137.999,261504328.667,261592519.134,263179947.532,2.0,1555511678760.0,0.000686939667721,0.111290322581,0.0555560781178,293,1.21719856843e-13,0.111103979461
720.0,-705.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,257403488.067,323370.175502,257403488.067,257632145.311,257174830.823,257197696.547,257609279.586,2.0,104568270404.0,0.000343532689508,0.0556451612903,0.0555501992922,301,1.21719856843e-13,0.111136071887
720.0,-636.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,756018.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,253671028.488,593417.308362,253671028.488,254090637.891,253251419.085,253293380.025,254048676.95,2.0,352144101863.0,0.00137388660449,0.111290322581,0.111112744118,282,1.21719856843e-13,0.111103979461
720.0,-636.0,-12526.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,378009.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,244872889.421,1085667.18264,244872889.421,245640572.048,244105206.794,244181975.057,245563803.785,2.0,1178673231470.0,0.001374276181,0.111290322581,0.111112156236,342,1.21719856843e-13,0.111136071887
720.0,-705.0,-14257.0,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,661515.0,1e+200,-1e+200,ref,braidwood,illinois,illinois,241021366.469,,241021366.469,241021366.469,241021366.469,241021366.469,241021366.469,1.0,,0.000686943302245,0.0556451612903,0.111112744118,271,1.21719856843e-13,0.111103979461
