smr_capacity,htse_capacity,ft_capacity,ft_elec_consumption_capacity,electricity_market_capacity,naphtha_market_capacity,jet_fuel_market_capacity,diesel_market_capacity,h2_storage_capacity,h2_import_capacity,h2_export_capacity,scenario_label,location_label,fuel_region_label,co2_location_label,mean_NPV,std_NPV,med_NPV,max_NPV,min_NPV,perc_5_NPV,perc_95_NPV,samp_NPV,var_NPV,ProbabilityWeight,ProbabilityWeight-ft_capacity,ProbabilityWeight-h2_storage_capacity,prefix,ProbabilityWeight-htse_capacity,PointProbability
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-903708571.79,2584264.72483,-903708571.79,-901881220.678,-905535922.901,-905353187.79,-902063955.79,2.0,6678424167990.0,0.00781258342813,0.12499839544,0.250005878895,118,0.25,0.0
720.0,-395.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-947483175.614,487011.274576,-947483175.614,-947138806.639,-947827544.588,-947793107.691,-947173243.536,2.0,237179981564.0,0.00390629171407,0.12499839544,0.125002939447,123,0.25,0.0
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-986430356.351,1034376.60718,-986430356.351,-985698941.637,-987161771.064,-987088629.593,-985772083.109,2.0,1069934965480.0,0.00781221600193,0.12499839544,0.249994121105,107,0.25,0.0
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-986874639.686,1304412.05469,-986874639.686,-985952281.077,-987796998.296,-987704762.435,-986044516.938,2.0,1701490808430.0,0.00390592428786,0.12499839544,0.124991181658,102,0.25,0.0
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,212630.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1033524703.79,449734.520948,-1033524703.79,-1033206693.46,-1033842714.12,-1033810913.08,-1033238494.49,2.0,202261139332.0,0.00781258342813,0.12499839544,0.250005878895,112,0.25,0.0
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,318945.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1081277782.35,2999588.99107,-1081277782.35,-1079156752.63,-1083398812.06,-1083186709.09,-1079368855.6,2.0,8997534115360.0,0.00781258342813,0.12499839544,0.250005878895,117,0.25,0.0
720.0,-705.1,-17719.2,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1089161157.28,0.0,-1089161157.28,-1089161157.28,-1089161157.28,-1089161157.28,-1089161157.28,2.0,0.0,0.00195301228288,0.12500160456,0.124991181658,1,0.125,2.43433201164e-13
720.0,-550.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,425260.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1125865967.49,3401328.59104,-1125865967.49,-1123460864.98,-1128271070.0,-1128030559.75,-1123701375.23,2.0,11569036184200.0,0.00390629171407,0.12499839544,0.125002939447,122,0.25,0.0
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,10.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1162531023.41,663418.051106,-1162531023.41,-1162061916.01,-1163000130.81,-1162953220.07,-1162108826.75,2.0,440123510534.0,0.00195296214393,0.12499839544,0.124991181658,101,0.125,0.0
720.0,-705.1,-2138.6,-14.9,-1e+200,-1e+200,-1e+200,-1e+200,106315.0,1e+200,-1e+200,ref,prairie_island,minnesota,minnesota,-1165841925.58,2941921.92176,-1165841925.58,-1163761672.64,-1167922178.52,-1167714153.23,-1163969697.93,2.0,8654904593750.0,0.00390610800096,0.12499839544,0.249994121105,106,0.125,0.0
